Feature_Selection,Optimizer,Loss_Function,Activation_Function,Total_Train_Time,Last_Train_Loss,Last_Val_Loss,Cost_Benefit,Pareto
DecisionTree_50pct_03,Adam,MSE,PReLU,1660.0,58228318666752.0,966993767301120.0,582526365844.0482,False
DecisionTree_50pct_03,AdamW,MAE,PReLU,1760.0,5930820.0,7203900.5,4093.125284090909,True
DecisionTree_50pct_03,Adam,MSE,LeakyReLU,1823.0,132792595775488.0,1782881995194368.0,977993414807.6621,False
DecisionTree_50pct_03,AdamW,MSE,LeakyReLU,1789.0,127113113894912.0,1731337287368704.0,967768187461.545,False
DecisionTree_50pct_03,AdamW,MSE,PReLU,1906.0,51298342797312.0,923653386534912.0,484603035957.4565,False
DecisionTree_50pct_03,AdamW,SmoothL1Loss,ReLU,1862.0,6989741.0,9631930.0,5172.894736842105,False
DecisionTree_50pct_03,AdamW,SmoothL1Loss,ELU,1810.0,7692134.5,9116034.0,5036.482872928177,False
DecisionTree_50pct_03,Adam,MAE,LeakyReLU,1718.0,6411169.0,9723850.0,5659.982537834691,False
DecisionTree_50pct_03,AdamW,MAE,ReLU,1873.0,6919479.0,9622023.0,5137.225306994127,False
DecisionTree_50pct_03,Adam,SmoothL1Loss,ELU,1930.0,7321802.5,9043053.0,4685.519689119171,False
DecisionTree_50pct_03,Adam,MSE,ELU,1742.0,207915105386496.0,1736637545447424.0,996921667880.2664,False
DecisionTree_50pct_03,AdamW,SmoothL1Loss,PReLU,1832.0,5921918.0,7201898.5,3931.1673034934497,True
DecisionTree_50pct_03,Adam,SmoothL1Loss,PReLU,1684.0,5833027.0,7562236.0,4490.638954869359,False
DecisionTree_70pct_03,AdamW,MAE,ReLU,3119.0,4767682.0,9639659.0,3090.624879769157,False
DecisionTree_70pct_03,AdamW,SmoothL1Loss,ELU,2750.0,6005640.5,8940010.0,3250.9127272727274,False
DecisionTree_70pct_03,AdamW,SmoothL1Loss,ReLU,2857.0,4734303.0,9592706.0,3357.6149807490374,False
DecisionTree_70pct_03,AdamW,MSE,PReLU,2550.0,36175427403776.0,1034142426857472.0,405546049748.02826,False
DecisionTree_70pct_03,AdamW,MAE,ELU,2987.0,5872607.5,9017592.0,3018.946099765651,False
DecisionTree_70pct_03,AdamW,MSE,LeakyReLU,2704.0,34988336611328.0,1762290177146880.0,651734532968.5208,False
DecisionTree_70pct_03,Adam,MSE,LeakyReLU,2700.0,36302024081408.0,1824874964189184.0,675879616366.3645,False
DecisionTree_70pct_03,AdamW,MAE,PReLU,2922.0,2704609.75,8269930.5,2830.2294661190963,False
DecisionTree_70pct_03,Adam,MSE,PReLU,2615.0,30373805293568.0,1077134848163840.0,411906251687.89294,False
DecisionTree_70pct_03,Adam,MSE,ELU,2566.0,41322991845376.0,1794949376901120.0,699512617654.3726,False
DecisionTree_70pct_03,Adam,MAE,LeakyReLU,2528.0,4496727.0,9765030.0,3862.7492088607596,False
DecisionTree_70pct_03,AdamW,MAE,LeakyReLU,3029.0,4447490.5,9456170.0,3121.878507758336,False
DecisionTree_70pct_03,AdamW,SmoothL1Loss,LeakyReLU,2908.0,4524224.5,9444445.0,3247.745873452545,False
DecisionTree_70pct_03,Adam,SmoothL1Loss,LeakyReLU,2977.0,4532106.0,9685719.0,3253.516627477326,False
DecisionTree_70pct_03,AdamW,MSE,ELU,2561.0,35661067321344.0,1748663588093952.0,682804993398.6537,False
DecisionTree_70pct_03,Adam,SmoothL1Loss,ReLU,2856.0,4789226.5,9917159.0,3472.3946078431372,False
DecisionTree_70pct_03,Adam,MAE,ReLU,2490.0,4832620.5,9797961.0,3934.9240963855423,False
DecisionTree_70pct_03,Adam,MAE,ELU,2468.0,5314507.5,9038182.0,3662.14829821718,False
DecisionTree_70pct_03,Adam,MAE,PReLU,2139.0,2936505.25,8409223.0,3931.380551659654,False
DecisionTree_70pct_03,AdamW,MSE,ReLU,2644.0,43546727940096.0,1800029652123648.0,680797901710.9108,False
DecisionTree_70pct_03,Adam,SmoothL1Loss,ELU,2743.0,5056569.5,9116665.0,3323.6110098432373,False
DecisionTree_70pct_03,Adam,MSE,ReLU,2654.0,42572835717120.0,1869911991255040.0,704563674172.9615,False
DecisionTree_70pct_03,AdamW,SmoothL1Loss,PReLU,2602.0,2700452.0,8160574.5,3136.26998462721,False
DecisionTree_70pct_03,Adam,SmoothL1Loss,PReLU,2441.0,2925831.75,8707713.0,3567.2728390004095,False
