Feature_Selection,Optimizer,Loss_Function,Activation_Function,MAPE(%)
Word2Vec_30pct_03,AdamW,MAE,ELU,21.492641
Word2Vec_30pct_03,Adam,MAE,ReLU,21.419178
Word2Vec_30pct_03,AdamW,MSE,LeakyReLU,45.904293
Word2Vec_30pct_03,Adam,SmoothL1Loss,ReLU,21.220201
Word2Vec_30pct_03,Adam,SmoothL1Loss,LeakyReLU,21.357887
Word2Vec_30pct_03,Adam,MSE,PReLU,52.899605
Word2Vec_30pct_03,AdamW,SmoothL1Loss,ELU,21.568295
Word2Vec_30pct_03,Adam,MAE,PReLU,21.57053
Word2Vec_30pct_03,Adam,MSE,ReLU,44.347538
Word2Vec_30pct_03,AdamW,SmoothL1Loss,LeakyReLU,21.30162
Word2Vec_30pct_03,AdamW,SmoothL1Loss,PReLU,21.339968
Word2Vec_30pct_03,AdamW,MSE,ELU,45.272156
Word2Vec_30pct_03,Adam,MSE,ELU,45.28715
Word2Vec_30pct_03,Adam,MAE,LeakyReLU,21.263773
Word2Vec_30pct_03,Adam,MSE,LeakyReLU,43.88987
Word2Vec_30pct_03,AdamW,MAE,PReLU,21.469501
Word2Vec_30pct_03,Adam,MAE,ELU,21.974072
Word2Vec_30pct_03,AdamW,SmoothL1Loss,ReLU,21.400003
Word2Vec_30pct_03,Adam,SmoothL1Loss,ELU,21.890503
Word2Vec_30pct_03,AdamW,MAE,ReLU,21.512737
Word2Vec_30pct_03,Adam,SmoothL1Loss,PReLU,21.350567
Word2Vec_30pct_03,AdamW,MSE,ReLU,43.88304
Word2Vec_30pct_03,AdamW,MAE,LeakyReLU,21.113605
Word2Vec_30pct_03,AdamW,MSE,PReLU,52.32889
DecisionTree_50pct_03,AdamW,MAE,ELU,9.950117
DecisionTree_50pct_03,Adam,MAE,ReLU,9.76689
DecisionTree_50pct_03,AdamW,MSE,LeakyReLU,15.46788
DecisionTree_50pct_03,Adam,SmoothL1Loss,ReLU,9.614782
DecisionTree_50pct_03,Adam,SmoothL1Loss,LeakyReLU,9.665123
DecisionTree_50pct_03,Adam,MSE,PReLU,12.8132715
DecisionTree_50pct_03,AdamW,SmoothL1Loss,ELU,10.164057
DecisionTree_50pct_03,Adam,MAE,PReLU,8.598379
DecisionTree_50pct_03,Adam,MSE,ReLU,15.3124075
DecisionTree_50pct_03,AdamW,SmoothL1Loss,LeakyReLU,9.315678
DecisionTree_50pct_03,AdamW,SmoothL1Loss,PReLU,8.592368
DecisionTree_50pct_03,AdamW,MSE,ELU,18.378662
DecisionTree_50pct_03,Adam,MSE,ELU,20.006306
DecisionTree_50pct_03,Adam,MAE,LeakyReLU,9.731416
DecisionTree_50pct_03,Adam,MSE,LeakyReLU,16.169924
DecisionTree_50pct_03,AdamW,MAE,PReLU,8.580697
DecisionTree_50pct_03,Adam,MAE,ELU,9.851017
DecisionTree_50pct_03,AdamW,SmoothL1Loss,ReLU,9.646918
DecisionTree_50pct_03,Adam,SmoothL1Loss,ELU,9.942139
DecisionTree_50pct_03,AdamW,MAE,ReLU,9.770497
DecisionTree_50pct_03,Adam,SmoothL1Loss,PReLU,8.611826
DecisionTree_50pct_03,AdamW,MSE,ReLU,15.375224
DecisionTree_50pct_03,AdamW,MAE,LeakyReLU,9.495413
DecisionTree_50pct_03,AdamW,MSE,PReLU,13.04653
GradientBoosting_30pct_03,AdamW,MAE,ELU,11.402066
GradientBoosting_30pct_03,Adam,MAE,ReLU,9.803622
GradientBoosting_30pct_03,AdamW,MSE,LeakyReLU,19.884092
GradientBoosting_30pct_03,Adam,SmoothL1Loss,ReLU,9.650711
GradientBoosting_30pct_03,Adam,SmoothL1Loss,LeakyReLU,9.595028
GradientBoosting_30pct_03,Adam,MSE,PReLU,13.908754
GradientBoosting_30pct_03,AdamW,SmoothL1Loss,ELU,12.433054
GradientBoosting_30pct_03,Adam,MAE,PReLU,8.528899
GradientBoosting_30pct_03,Adam,MSE,ReLU,17.313074
GradientBoosting_30pct_03,AdamW,SmoothL1Loss,LeakyReLU,9.610551
GradientBoosting_30pct_03,AdamW,SmoothL1Loss,PReLU,8.592202
GradientBoosting_30pct_03,AdamW,MSE,ELU,23.070086
GradientBoosting_30pct_03,Adam,MSE,ELU,23.030693
GradientBoosting_30pct_03,Adam,MAE,LeakyReLU,9.47995
GradientBoosting_30pct_03,Adam,MSE,LeakyReLU,16.857502
GradientBoosting_30pct_03,AdamW,MAE,PReLU,8.538156
GradientBoosting_30pct_03,Adam,MAE,ELU,11.0938015
GradientBoosting_30pct_03,AdamW,SmoothL1Loss,ReLU,9.586648
GradientBoosting_30pct_03,Adam,SmoothL1Loss,ELU,12.464644
GradientBoosting_30pct_03,AdamW,MAE,ReLU,9.777644
GradientBoosting_30pct_03,Adam,SmoothL1Loss,PReLU,8.538816
GradientBoosting_30pct_03,AdamW,MSE,ReLU,17.389593
GradientBoosting_30pct_03,AdamW,MAE,LeakyReLU,9.42352
GradientBoosting_30pct_03,AdamW,MSE,PReLU,14.583971
XGBoost_30pct_03,AdamW,MAE,ELU,9.793605
XGBoost_30pct_03,Adam,MAE,ReLU,9.626686
XGBoost_30pct_03,AdamW,MSE,LeakyReLU,20.080875
XGBoost_30pct_03,Adam,SmoothL1Loss,ReLU,9.670859
XGBoost_30pct_03,Adam,SmoothL1Loss,LeakyReLU,9.2305
XGBoost_30pct_03,Adam,MSE,PReLU,14.427103
XGBoost_30pct_03,AdamW,SmoothL1Loss,ELU,9.946029
XGBoost_30pct_03,Adam,MAE,PReLU,8.367517
XGBoost_30pct_03,Adam,MSE,ReLU,19.897272
XGBoost_30pct_03,AdamW,SmoothL1Loss,LeakyReLU,9.13725
XGBoost_30pct_03,AdamW,SmoothL1Loss,PReLU,8.359385
XGBoost_30pct_03,AdamW,MSE,ELU,25.08761
XGBoost_30pct_03,Adam,MSE,ELU,25.873953
XGBoost_30pct_03,Adam,MAE,LeakyReLU,9.266148
XGBoost_30pct_03,Adam,MSE,LeakyReLU,18.585474
XGBoost_30pct_03,AdamW,MAE,PReLU,8.3893795
XGBoost_30pct_03,Adam,MAE,ELU,10.202826
XGBoost_30pct_03,AdamW,SmoothL1Loss,ReLU,9.707958
XGBoost_30pct_03,Adam,SmoothL1Loss,ELU,10.239651
XGBoost_30pct_03,AdamW,MAE,ReLU,9.576089
XGBoost_30pct_03,Adam,SmoothL1Loss,PReLU,8.427913
XGBoost_30pct_03,AdamW,MSE,ReLU,23.120728
XGBoost_30pct_03,AdamW,MAE,LeakyReLU,9.219696
XGBoost_30pct_03,AdamW,MSE,PReLU,13.438569
GradientBoosting_50pct_03,AdamW,MAE,ELU,10.083762
GradientBoosting_50pct_03,Adam,MAE,ReLU,9.337475
GradientBoosting_50pct_03,AdamW,MSE,LeakyReLU,15.490891
GradientBoosting_50pct_03,Adam,SmoothL1Loss,ReLU,9.545857
GradientBoosting_50pct_03,Adam,SmoothL1Loss,LeakyReLU,9.398551
GradientBoosting_50pct_03,Adam,MSE,PReLU,11.526286
GradientBoosting_50pct_03,AdamW,SmoothL1Loss,ELU,9.803764
GradientBoosting_50pct_03,Adam,MAE,PReLU,8.411491
GradientBoosting_50pct_03,Adam,MSE,ReLU,15.263833
GradientBoosting_50pct_03,AdamW,SmoothL1Loss,LeakyReLU,9.202141
GradientBoosting_50pct_03,AdamW,SmoothL1Loss,PReLU,8.509797
GradientBoosting_50pct_03,AdamW,MSE,ELU,20.66686
GradientBoosting_50pct_03,Adam,MSE,ELU,20.345085
GradientBoosting_50pct_03,Adam,MAE,LeakyReLU,9.394974
GradientBoosting_50pct_03,Adam,MSE,LeakyReLU,15.273912
GradientBoosting_50pct_03,AdamW,MAE,PReLU,8.524006
GradientBoosting_50pct_03,Adam,MAE,ELU,9.850604
GradientBoosting_50pct_03,AdamW,SmoothL1Loss,ReLU,9.246518
GradientBoosting_50pct_03,Adam,SmoothL1Loss,ELU,9.90324
GradientBoosting_50pct_03,AdamW,MAE,ReLU,9.573958
GradientBoosting_50pct_03,Adam,SmoothL1Loss,PReLU,8.610567
